Checksum Results
---------------------
Normal Checksum 1
Instruction count rv32, 0
Instruction count rv64, 296906
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42641
Store count, 18436
Total memory access, 61077
----------------------
Normal Checksum 2
Instruction count rv32, 0
Instruction count rv64, 296948
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42653
Store count, 18442
Total memory access, 61095
----------------------
Normal Checksum 3
Instruction count rv32, 0
Instruction count rv64, 296990
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42665
Store count, 18448
Total memory access, 61113
----------------------
Normal Checksum 4
Instruction count rv32, 0
Instruction count rv64, 297032
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42677
Store count, 18454
Total memory access, 61131
----------------------
Normal Checksum 5
Instruction count rv32, 0
Instruction count rv64, 297074
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42689
Store count, 18460
Total memory access, 61149
----------------------
Normal Checksum 6
Instruction count rv32, 0
Instruction count rv64, 297116
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42701
Store count, 18466
Total memory access, 61167
----------------------
Normal Checksum 7
Instruction count rv32, 0
Instruction count rv64, 297158
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42713
Store count, 18472
Total memory access, 61185
----------------------
Normal Checksum 8
Instruction count rv32, 0
Instruction count rv64, 297200
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42725
Store count, 18478
Total memory access, 61203
----------------------
Normal Checksum 9
Instruction count rv32, 0
Instruction count rv64, 297242
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42737
Store count, 18484
Total memory access, 61221
----------------------
Normal Checksum 10
Instruction count rv32, 0
Instruction count rv64, 297307
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42752
Store count, 18491
Total memory access, 61243
----------------------
Normal Checksum 11
Instruction count rv32, 0
Instruction count rv64, 297349
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42764
Store count, 18497
Total memory access, 61261
----------------------
Normal Checksum 12
Instruction count rv32, 0
Instruction count rv64, 297391
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42776
Store count, 18503
Total memory access, 61279
----------------------
Normal Checksum 13
Instruction count rv32, 0
Instruction count rv64, 297433
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42788
Store count, 18509
Total memory access, 61297
----------------------
Normal Checksum 14
Instruction count rv32, 0
Instruction count rv64, 297475
Load count - slowpath, 128
Store count - slowpath, 112
Load count MMIO, 3672
Store count MMIO, 3
Load count Page Fault, 0
Store count Page Fault, 0
Load count, 42800
Store count, 18515
Total memory access, 61315
----------------------
Normal Checksum 15
Instruction count rv32, 0
Instruction count rv64, 297517
Load count - slowpath, 128
